Rank;Country;Age;Birthday;Weight;Height;WL_17;T17;Earn17;Career_high;WL_career;T_career;Earn_career
Rafael Nadal; 1; ESP; 31; 1986.06.03; 85; 185; 67-11; 6; 15,851,340; 1; 873-185; 75; 94,588,627
Roger Federer; 2; SUI; 36; 1981.08.08; 85; 185; 52-5; 7; 13,054,856; 1; 1132-250; 95; 111,885,682
Grigor Dimitrov; 3; BUL; 26; 1991.05.16; 80; 191; 49-19; 4; 6,575,244; 3; 257-161; 8; 14,083,976
Alexander Zverev; 4; GER; 20; 1997.04.20; 86; 198; 55-22; 5; 5,006,313; 3; 117-70; 6; 7,041,628
Dominic Thiem; 5; AUT; 24; 1993.09.03; 82; 185; 49-27; 1; 4,283,907; 4; 171-109; 8; 9,507,497
Marin Cilic; 6; CRO; 29; 1988.09.28; 89; 198; 44-22; 1; 4,004,923; 4; 435-232; 17; 20,919,276
David Goffin; 7; BEL; 27; 1990.12.07; 68; 180; 59-24; 2; 3,890,613; 7; 201-128; 4; 8,995,195
Jack Sock; 8; USA; 25; 1992.09.24; 84; 191; 38-21; 3; 3,149,419; 8; 153-103; 4; 8,171,779
Stan Wawrinka; 9; SUI; 32; 1985.03.28; 81; 183; 26-11; 1; 3,083,829; 3; 465-262; 16; 30,905,144
Pablo Carreno Busta; 10; ESP; 26; 1991.07.12; 78; 188; 36-26; 1; 2,843,305; 10; 111-110; 3; 5,746,293
Juan Martin del Potro; 11; ARG; 29; 1988.09.23; 97; 198; 38-16; 1; 2,547,354; 4; 384-156; 20; 18,873,003
Novak Djokovic; 12; SRB; 30; 1987.05.22; 77; 188; 32-8; 2; 2,083,741; 1; 783-163; 68; 109,805,403
Sam Querrey; 13; USA; 30; 1987.10.07; 95; 198; 36-21; 2; 2,232,149; 13; 321-257; 10; 9,977,508
Kevin Anderson; 14; RSA; 31; 1986.05.18; 93; 203; 32-21; 0; 2,842,345; 10; 271-201; 3; 10,241,620
Jo-Wilfried Tsonga; 15; FRA; 32; 1985.04.17; 91; 188; 38-15; 4; 1,843,647; 5; 426-195; 16; 20,808,869
Andy Murray; 16; GBR; 30; 1987.05.15; 84; 191; 25-10; 1; 2,071,625; 1; 655-184; 45; 60,807,644
John Isner; 17; USA; 32; 1985.04.26; 108; 208; 38-22; 2; 1,707,550; 9; 359-220; 12; 12,567,465
